,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
37,38,15729599,LORENZO,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0,2,GOLD,994
38,39,15717426,ARMSTRONG,850,France,Male,36,7,0,1,1,1,40812.9,0,0,3,GOLD,944
39,40,15585768,CAMERON,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0,5,GOLD,419
42,43,15687946,OSBORNE,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,0,3,PLATINUM,789
44,45,15684171,BIANCHI,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0,1,PLATINUM,884
45,46,15754849,TYLER,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0,1,SILVER,296
46,47,15602280,MARTIN,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,1,3,DIAMOND,779
47,48,15771573,OKAGBUE,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,1,1,SILVER,730
48,49,15766205,YIN,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,0,3,DIAMOND,960
55,56,15760861,PHILLIPPS,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,0,5,SILVER,657
59,60,15804771,VELAZQUEZ,614,France,Male,51,4,40685.92,1,1,1,46775.28,0,0,4,PLATINUM,954
63,64,15751208,PIROZZI,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,0,4,SILVER,903
64,65,15592461,JACKSON,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,0,3,PLATINUM,882
65,66,15789484,HAMMOND,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,1,5,GOLD,379
67,68,15641582,CHIBUGO,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,1,3,PLATINUM,683
68,69,15638424,GLAUERT,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,1,1,GOLD,770
72,73,15812518,PALERMO,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,0,2,GOLD,979
73,74,15779052,BALLARD,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,0,2,SILVER,988
74,75,15770811,WALLACE,519,France,Male,36,9,0,2,0,1,145562.4,0,0,2,PLATINUM,833
76,77,15614049,HU,664,France,Male,55,8,0,2,1,1,139161.64,0,0,5,SILVER,220
77,78,15662085,READ,678,France,Female,32,9,0,1,1,1,148210.64,0,0,4,GOLD,983
78,79,15575185,BUSHELL,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,0,3,SILVER,582
83,84,15701164,ONYEORULU,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0,4,SILVER,511
85,86,15805254,NDUKAKU,652,Spain,Female,75,10,0,2,1,1,114675.75,0,0,5,DIAMOND,651
89,90,15767954,OSBORNE,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0,1,DIAMOND,659
90,91,15757535,HEAP,647,Spain,Female,44,5,0,3,1,1,174205.22,1,1,3,DIAMOND,752
93,94,15640635,CAPON,769,France,Male,29,8,0,2,1,1,172290.61,0,0,2,DIAMOND,411
94,95,15676966,CAPON,730,Spain,Male,42,4,0,2,0,1,85982.47,0,0,4,DIAMOND,722
95,96,15699461,FIORENTINI,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,0,1,GOLD,231
96,97,15738721,GRAHAM,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,0,5,DIAMOND,488
97,98,15693683,YUILLE,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0,2,GOLD,965
100,101,15808582,FU,665,France,Female,40,6,0,1,1,1,161848.03,0,0,2,SILVER,651
104,105,15804919,DUNBABIN,670,Spain,Female,65,1,0,1,1,1,177655.68,1,1,2,GOLD,915
105,106,15613854,MAULDON,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,1,3,GOLD,299
106,107,15599195,STIGER,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,0,4,GOLD,838
107,108,15812878,PARSONS,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,0,5,PLATINUM,786
110,111,15803526,EREMENKO,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,0,4,SILVER,347
113,114,15591100,CHIEMELA,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,0,4,SILVER,749
114,115,15609618,FANUCCI,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,1,5,PLATINUM,541
115,116,15675522,KO,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,0,2,GOLD,736
123,124,15760085,CALABRESI,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,0,1,GOLD,462
126,127,15671137,MACDONALD,549,France,Female,52,1,0,1,0,1,8636.05,1,1,4,DIAMOND,485
130,131,15740404,HE,758,France,Female,34,3,0,2,1,1,124226.16,0,0,2,PLATINUM,375
131,132,15718369,KAODILINAKACHUKWU,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,0,5,GOLD,411
132,133,15677871,COCCI,687,France,Male,38,9,122570.87,1,1,1,35608.88,0,0,4,DIAMOND,595
133,134,15642004,ALEKSEEVA,686,France,Male,25,1,0,2,0,1,16459.37,0,0,1,DIAMOND,578
134,135,15712543,CHINWEIKE,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,0,2,PLATINUM,377
135,136,15584518,ARTHUR,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,0,2,GOLD,831
136,137,15802381,LI,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,0,1,SILVER,497
137,138,15610156,MA,637,France,Male,40,2,133463.1,1,0,1,93165.34,0,0,1,PLATINUM,374
139,140,15640905,VASIN,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,1,4,GOLD,247
141,142,15724944,TIEN,663,France,Male,34,7,0,2,1,1,180427.24,0,0,3,SILVER,912
142,143,15628145,FORWOOD,682,France,Female,43,5,125851.93,1,1,1,193318.33,0,0,4,GOLD,462
145,146,15800703,MADUKWE,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,0,4,GOLD,764
149,150,15794413,HARRIS,416,France,Male,32,0,0,2,0,1,878.87,0,0,5,GOLD,884
154,155,15709368,MILNE,614,France,Female,43,6,0,2,1,1,109041.53,0,0,1,PLATINUM,318
157,158,15623595,CLAYTON,586,Spain,Female,28,2,0,2,1,1,92067.35,0,0,5,PLATINUM,635
158,159,15589975,MACLEAN,646,France,Female,73,6,97259.25,1,0,1,104719.66,0,0,1,PLATINUM,250
160,161,15692132,WILKINSON,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,0,2,GOLD,666
163,164,15680772,HU,721,Spain,Female,36,2,0,2,1,1,106977.8,0,0,5,SILVER,534
165,166,15585388,SHERMAN,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,0,5,GOLD,612
174,175,15625524,ROWE,512,France,Male,40,5,0,2,1,1,146457.83,0,0,3,DIAMOND,435
175,176,15755209,FU,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,0,2,SILVER,415
176,177,15645248,HO,510,France,Female,30,0,0,2,1,1,130553.47,0,0,2,DIAMOND,430
178,179,15762615,CAMPBELL,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,0,5,SILVER,681
180,181,15716334,ROZIER,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,0,5,GOLD,739
181,182,15789669,HSIA,510,France,Male,65,2,0,2,1,1,48071.61,0,0,1,SILVER,280
183,184,15810845,T'ANG,636,France,Male,42,2,0,2,1,1,55470.78,0,0,4,PLATINUM,991
184,185,15719377,COCCI,804,France,Female,50,4,0,1,1,1,8546.87,1,1,2,GOLD,482
187,188,15708710,FORD,525,Spain,Female,37,0,0,1,0,1,131521.72,0,0,5,SILVER,642
188,189,15726676,MARSHALL,616,Spain,Male,30,5,0,2,0,1,196108.51,0,0,4,PLATINUM,701
195,196,15594815,ALESHIRE,807,France,Male,35,3,174790.15,1,1,1,600.36,0,0,3,SILVER,861
196,197,15635905,MORAN,616,Spain,Female,32,6,0,2,1,1,43001.46,0,0,5,GOLD,512
197,198,15777892,SAMSONOVA,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0,0,1,PLATINUM,478
198,199,15656176,JENKINS,501,France,Male,57,10,0,2,1,1,47847.19,0,0,5,PLATINUM,374
200,201,15604482,CHIEMEZIE,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0,0,2,DIAMOND,615
201,202,15622911,JUDE,759,France,Male,42,4,105420.18,1,0,1,121409.06,0,0,3,GOLD,435
202,203,15600974,HE,516,Spain,Male,50,5,0,1,0,1,146145.93,1,1,5,GOLD,509
203,204,15727868,ONUORA,711,France,Female,38,2,129022.06,2,1,1,14374.86,1,1,4,DIAMOND,321
205,206,15773039,KU,550,France,Male,37,3,0,1,1,1,179670.31,0,0,3,GOLD,516
207,208,15679531,COLLINS,618,France,Male,34,5,134954.53,1,1,1,151954.39,0,0,2,SILVER,512
209,210,15612087,DIKE,671,France,Male,45,2,106376.85,1,0,1,158264.62,0,0,3,DIAMOND,244
211,212,15624592,TAN,603,France,Male,31,8,0,2,1,1,169915.02,0,0,3,GOLD,245
213,214,15594917,MILLER,676,France,Female,34,1,63095.01,1,1,1,40645.81,0,0,3,SILVER,974
215,216,15723488,WATSON,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1,1,3,GOLD,629
219,220,15774854,FULLER,592,France,Male,54,8,0,1,1,1,28737.71,1,1,2,PLATINUM,359
220,221,15725311,HAY,726,France,Female,31,9,114722.05,2,1,1,98178.57,0,0,5,SILVER,811
221,222,15787155,YANG,514,Spain,Male,30,7,0,1,0,1,125010.24,0,0,4,DIAMOND,583
222,223,15727829,MCINTYRE,567,France,Male,42,2,0,2,1,1,167984.61,0,0,5,SILVER,959
224,225,15568748,POOLE,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1,1,3,PLATINUM,901
226,227,15774393,CH'IEN,694,France,Female,30,9,0,2,1,1,26960.31,0,0,5,DIAMOND,829
227,228,15676895,CATTANEO,547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1,1,4,SILVER,790
230,231,15808473,RINGROSE,673,France,Male,72,1,0,2,0,1,111981.19,0,0,3,SILVER,865
232,233,15787174,SERGEYEV,512,France,Female,37,1,0,2,0,1,156105.03,0,0,4,PLATINUM,722
233,234,15723886,FIORE,767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0,0,4,DIAMOND,535
234,235,15704769,SMITH,585,France,Female,67,5,113978.97,2,0,1,93146.11,0,0,5,SILVER,580
236,237,15711540,PACHECO,712,France,Female,29,2,0,1,1,1,144375,0,0,4,GOLD,930
239,240,15795149,STEVENS,703,France,Male,28,2,81173.83,2,0,1,162812.16,0,0,2,PLATINUM,388
242,243,15813844,BARNES,703,France,Male,37,8,105961.68,2,0,1,74158.8,0,0,1,DIAMOND,619
243,244,15596175,MCINTOSH,659,Germany,Male,67,6,117411.6,1,1,1,45071.09,1,1,2,SILVER,815
247,248,15599792,DIMAURO,545,France,Female,26,1,0,2,1,1,199638.56,0,0,5,PLATINUM,902
248,249,15657566,WIECK,634,Germany,Male,24,8,103097.85,1,1,1,157577.29,0,0,2,GOLD,532
251,252,15753754,MORRISON,587,Spain,Female,34,1,0,2,1,1,97932.68,0,0,4,DIAMOND,749
252,253,15793726,MATVEYEVA,681,France,Female,79,0,0,2,0,1,170968.99,0,0,5,DIAMOND,333
253,254,15694717,KU,544,Germany,Male,37,2,79731.91,1,1,1,57558.95,0,0,4,DIAMOND,866
255,256,15765297,YAO,766,Spain,Male,41,0,0,2,0,1,34283.23,0,0,4,GOLD,670
256,257,15636684,KIRKLAND,727,France,Male,34,10,0,2,1,1,198637.34,0,0,4,GOLD,768
258,259,15750803,JESS,693,France,Female,30,6,127992.25,1,1,1,50457.2,0,0,1,SILVER,483
259,260,15607178,WELCH,850,Germany,Male,38,3,54901.01,1,1,1,140075.55,0,0,2,GOLD,926
260,261,15713853,IFEAJUNA,732,Germany,Male,42,9,108748.08,2,1,1,65323.11,0,0,1,DIAMOND,932
263,264,15673693,REPPERT,682,France,Female,26,0,110654.02,1,0,1,111879.21,0,0,2,PLATINUM,899
264,265,15700696,KANG,738,Spain,Male,31,9,79019.8,1,1,1,18606.23,0,0,4,PLATINUM,467
266,267,15653857,WALLIS,498,France,Male,34,2,0,2,1,1,148528.24,0,0,1,DIAMOND,549
270,271,15787071,DULHUNTY,650,Spain,Male,41,9,0,2,0,1,191599.67,0,0,4,PLATINUM,693
272,273,15796505,BOYLE,811,Germany,Female,34,1,149297.19,2,1,1,186339.74,0,0,2,GOLD,946
274,275,15800116,BOWMAN,712,Germany,Male,28,4,145605.44,1,0,1,93883.53,0,0,3,PLATINUM,465
275,276,15758685,DUBININA,706,Spain,Female,37,7,0,2,1,1,110899.3,0,0,1,GOLD,799
276,277,15694456,TOSCANI,756,France,Male,62,3,0,1,1,1,11199.04,1,1,3,SILVER,600
278,279,15683562,ALLEN,646,France,Male,35,6,84026.86,1,0,1,164255.69,0,0,3,SILVER,635
280,281,15668893,WILSMORE,782,France,Male,39,8,0,2,1,1,33949.67,0,0,3,PLATINUM,424
281,282,15669169,HARGREAVES,775,Spain,Male,29,10,0,2,1,1,68143.93,0,0,2,DIAMOND,913
282,283,15643024,HUANG,479,Germany,Male,35,4,138718.92,1,1,1,47251.79,1,1,1,GOLD,751
283,284,15699389,CH'IEN,807,France,Male,42,7,118274.71,1,1,1,25885.72,0,0,3,DIAMOND,899
284,285,15708608,WALLWORK,799,France,Female,22,8,174185.98,2,0,1,192633.85,0,0,3,PLATINUM,219
288,289,15727556,O'DONNELL,744,Spain,Female,26,5,166297.89,1,1,1,181694.44,0,0,1,PLATINUM,526
290,291,15652266,CHIDIEBELE,703,Germany,Male,42,9,63227,1,0,1,137316.32,0,0,3,SILVER,301
294,295,15785819,SHAO,681,France,Male,38,3,0,2,1,1,112491.96,0,0,1,DIAMOND,861
296,297,15774510,TIEN,714,France,Female,31,4,125169.26,1,1,1,106636.89,0,0,3,PLATINUM,669
298,299,15650068,JOHNSON,511,France,Male,58,0,149117.31,1,1,1,162599.51,0,0,1,GOLD,517
299,300,15811490,FRENCH,627,France,Male,33,5,0,2,1,1,103737.82,0,0,4,PLATINUM,499
303,304,15624188,CHIU,712,France,Female,33,6,0,2,1,1,190686.16,0,0,5,GOLD,460
305,306,15636673,ONWUATUEGWU,667,France,Male,31,1,119266.69,1,1,1,28257.63,0,0,2,SILVER,730
306,307,15594898,HEWITT,731,France,Male,43,2,0,1,1,1,170034.95,1,1,2,DIAMOND,777
310,311,15712287,POKROVSKII,652,France,Female,80,4,0,2,1,1,188603.07,0,0,1,GOLD,662
314,315,15631868,ROBERTSON,744,Spain,Male,36,2,153804.44,1,1,1,87213.33,0,0,3,SILVER,252
317,318,15666252,RITCHIE,706,Spain,Male,42,9,0,2,1,1,28714.34,0,0,4,PLATINUM,361
320,321,15810834,GORDON,525,Spain,Female,57,2,145965.33,1,1,1,64448.36,0,0,5,PLATINUM,337
321,322,15678910,TS'AI,680,France,Female,30,8,141441.75,1,1,1,16278.97,0,0,1,SILVER,597
328,329,15669064,MAZZANTI,671,Germany,Male,35,1,144848.74,1,1,1,179012.3,0,0,5,PLATINUM,731
329,330,15624528,L?,664,Germany,Male,26,7,116244.14,2,1,1,95145.14,0,0,2,GOLD,837
330,331,15598493,BEACH,656,France,Male,50,7,0,2,0,1,72143.44,0,0,1,GOLD,829
332,333,15702669,FAULKNER,663,Germany,Male,44,2,117028.6,2,0,1,144680.18,0,0,4,DIAMOND,919
336,337,15740476,TSAO,659,Germany,Female,32,3,150923.74,2,0,1,174652.51,0,0,2,PLATINUM,849
340,341,15745844,KERR,642,Germany,Female,40,6,129502.49,2,0,1,86099.23,1,1,4,GOLD,269
342,343,15681081,MARRERO,545,Spain,Female,47,5,0,2,1,1,38970.14,0,0,4,PLATINUM,373
347,348,15747358,RUSSELL,643,Germany,Male,59,3,170331.37,1,1,1,32171.79,0,0,5,PLATINUM,838
348,349,15735203,SELEZNYOV,654,Germany,Female,32,1,114510.85,1,1,1,126143.23,0,0,4,GOLD,224
349,350,15576256,YUSUPOVA,582,France,Male,39,5,0,2,1,1,129892.93,0,0,4,DIAMOND,343
350,351,15659420,FOLEY,659,Spain,Male,32,3,107594.11,2,1,1,102416.84,0,0,3,DIAMOND,683
351,352,15593365,SHIH,762,Spain,Male,39,2,81273.13,1,1,1,18719.67,0,0,5,GOLD,929
353,354,15812007,POWER,670,Spain,Male,25,6,0,2,1,1,78358.94,0,0,3,DIAMOND,723
354,355,15625461,AMOS,613,France,Female,45,1,187841.99,2,1,1,147224.27,0,0,1,PLATINUM,482
356,357,15611759,SIMMONS,850,Spain,Female,57,8,126776.3,2,1,1,132298.49,0,0,3,GOLD,244
358,359,15633950,YEN,737,France,Male,41,1,101960.74,1,1,1,123547.28,0,0,5,SILVER,463
359,360,15592386,CAMPBELL,520,France,Male,58,3,0,2,0,1,32790.02,0,0,5,DIAMOND,253
360,361,15803716,WEST,706,Spain,Male,28,3,0,2,0,1,181543.67,0,0,3,SILVER,241
361,362,15696674,ROBINSON,643,Germany,Female,45,2,150842.93,1,0,1,2319.96,1,1,5,PLATINUM,537
362,363,15706365,BIANCHI,648,France,Female,50,9,102535.57,1,1,1,189543.19,0,0,5,DIAMOND,332
364,365,15676715,MADUKAEGO,640,France,Male,68,9,0,2,1,1,199493.38,0,0,4,PLATINUM,763
365,366,15613085,IBRAHIMOVA,628,Spain,Female,33,3,0,1,1,1,188193.25,0,0,4,GOLD,240
367,368,15594720,SCOTT,460,Germany,Female,35,8,102742.91,2,1,1,189339.6,0,0,5,DIAMOND,366
368,369,15684042,BLAIR,636,Germany,Male,34,2,40105.51,2,0,1,53512.16,0,0,3,DIAMOND,356
370,371,15611579,SUTHERLAND,801,Spain,Male,42,4,141947.67,1,1,1,10598.29,0,0,3,SILVER,687
371,372,15774696,COLE,640,Germany,Female,75,1,106307.91,2,0,1,113428.77,0,0,2,PLATINUM,703
372,373,15694506,BRIGGS,611,Germany,Male,31,0,107884.81,2,1,1,183487.98,0,0,2,DIAMOND,388
373,374,15688074,GREGORY,802,Germany,Male,31,1,125013.72,1,1,1,187658.09,0,0,2,DIAMOND,579
374,375,15759537,BIANCHI,717,Germany,Male,35,7,58469.37,2,1,1,172459.39,0,0,2,GOLD,793
375,376,15758449,ANGELO,769,France,Female,39,8,0,1,0,1,21016,0,0,3,GOLD,828
376,377,15583456,GARDINER,745,Germany,Male,45,10,117231.63,3,1,1,122381.02,1,1,2,GOLD,291
380,381,15713578,FARRELL,483,France,Female,50,9,0,2,1,1,111020.24,0,0,5,SILVER,706
382,383,15568240,TING,492,Germany,Female,30,10,77168.87,2,0,1,146700.22,0,0,5,GOLD,552
385,386,15720910,BLACK,560,France,Female,66,9,0,1,1,1,15928.49,0,0,3,DIAMOND,906
387,388,15776433,GRECO,730,Spain,Male,62,2,0,2,1,1,186489.95,0,0,4,GOLD,594
388,389,15748936,WHITEHEAD,709,Spain,Female,45,2,0,2,0,1,162922.65,0,0,1,PLATINUM,815
390,391,15685226,MORRISON,712,Germany,Female,29,7,147199.07,1,1,1,84932.4,0,0,3,SILVER,886
391,392,15785611,ONYEORURU,752,Germany,Male,38,3,183102.29,1,1,1,71557.12,0,0,3,SILVER,833
394,395,15620505,CELIS,594,Spain,Female,24,0,97378.54,1,1,1,71405.17,0,0,2,DIAMOND,431
395,396,15807432,CHENG,645,Germany,Female,37,2,136925.09,2,0,1,153400.24,0,0,3,PLATINUM,739
396,397,15584766,KNIGHT,557,France,Male,33,3,54503.55,1,1,1,371.05,0,0,5,SILVER,362
398,399,15762218,MILLS,701,France,Female,39,9,0,2,0,1,145894.9,0,0,2,GOLD,513
401,402,15747795,PAI,593,Germany,Female,38,4,129499.42,1,1,1,154071.27,0,0,5,SILVER,337
402,403,15781589,CARPENTER,751,Spain,Male,52,8,0,2,0,1,179291.85,0,0,5,SILVER,629
403,404,15732674,FENNELL,443,Spain,Male,36,6,70438.01,2,0,1,56937.43,0,0,4,GOLD,858
404,405,15642291,FONTAINE,685,France,Male,23,8,0,2,1,1,112239.03,0,0,2,SILVER,543
408,409,15701376,K'UNG,668,Germany,Male,37,10,152958.29,2,1,1,159585.61,0,0,2,SILVER,743
411,412,15760431,PINO,850,France,Male,38,1,0,2,1,1,80006.65,0,0,2,PLATINUM,480
412,413,15686302,FISK,745,Spain,Female,31,3,124328.84,1,1,1,140451.52,0,0,5,GOLD,924
413,414,15801559,CHIANG,693,Germany,Female,41,9,181461.48,3,1,1,187929.43,1,1,3,GOLD,430
417,418,15695632,DELLUCCI,556,France,Female,39,9,89588.35,1,1,1,94898.1,0,0,1,DIAMOND,827
427,428,15806964,UTZ,702,France,Male,45,0,80793.58,1,1,1,27474.81,0,0,2,DIAMOND,994
430,431,15597602,NWACHINEMELU,619,Germany,Male,57,3,137946.39,1,1,1,72467.99,1,1,5,PLATINUM,367
431,432,15743040,KUZNETSOVA,724,Germany,Male,41,2,127892.57,2,0,1,199645.45,0,0,4,DIAMOND,393
435,436,15581197,RICCI,762,France,Female,51,3,99286.98,1,0,1,85578.63,0,0,5,SILVER,887
439,440,15690134,HUGHES,464,Germany,Female,42,3,85679.25,1,1,1,164104.74,0,0,3,SILVER,665
442,443,15672145,SWIFT,534,France,Female,34,7,121551.58,2,1,1,70179,0,0,3,SILVER,351
443,444,15732628,UGOJI,745,France,Male,46,2,122220.19,1,1,1,118024.1,0,0,3,DIAMOND,781
445,446,15803406,ROSS,748,France,Female,26,1,77780.29,1,0,1,183049.41,0,0,3,GOLD,340
447,448,15644572,TURNBULL,501,France,Male,40,4,125832.2,1,1,1,100433.83,0,0,3,DIAMOND,923
451,452,15785798,UCHECHUKWU,850,France,Male,40,9,0,2,0,1,119232.33,0,0,2,GOLD,241
454,455,15726631,HILTON,758,France,Female,39,6,127357.76,1,0,1,56577,0,0,4,SILVER,404
456,457,15747960,ELUEMUNO,733,France,Male,33,3,0,1,1,1,7666.73,0,0,1,SILVER,855
458,459,15707362,YIN,514,Germany,Male,43,1,95556.31,1,0,1,199273.98,1,1,4,GOLD,774
459,460,15662976,LETTIERE,637,Spain,Male,37,8,0,1,1,1,186062.36,0,0,1,DIAMOND,699
460,461,15732778,TEMPLEMAN,468,Germany,Male,29,1,111681.98,2,1,1,195711.16,0,0,3,GOLD,977
463,464,15773792,EVANS,662,France,Female,32,4,133950.37,1,1,1,48725.68,1,1,1,DIAMOND,368
464,465,15613786,OGBONNAYA,818,Spain,Male,26,4,0,2,1,1,167036.94,0,0,3,SILVER,261
466,467,15663252,OLISANUGO,850,Spain,Female,32,9,0,2,1,1,18924.92,0,0,4,DIAMOND,765
469,470,15749167,FISK,753,France,Male,35,3,0,2,1,1,184843.77,0,0,1,GOLD,330
470,471,15759298,SHIH,631,Spain,Male,27,10,134169.62,1,1,1,176730.02,0,0,5,PLATINUM,863
476,477,15798888,PISANO,605,Germany,Female,31,1,117992.59,1,1,1,183598.77,0,0,2,SILVER,496
478,479,15677538,NWOKIKE,569,France,Male,38,7,0,1,1,1,108469.2,0,0,5,SILVER,550
479,480,15797736,SMITH,658,France,Male,29,4,80262.6,1,1,1,20612.82,0,0,2,GOLD,420
480,481,15695585,ATKINS,788,Spain,Male,34,6,156478.62,1,0,1,181196.76,0,0,3,DIAMOND,760
485,486,15637954,LEWIS,730,France,Female,35,0,155470.55,1,1,1,53718.28,0,0,4,GOLD,500
487,488,15613772,DALRYMPLE,542,France,Male,39,3,135096.77,1,1,1,14353.43,1,1,2,PLATINUM,328
488,489,15731744,CARSLAW,692,France,Male,30,2,0,2,0,1,130486.57,0,0,4,DIAMOND,751
489,490,15807709,KIRBY,714,Germany,Female,55,9,180075.22,1,1,1,100127.71,0,0,1,GOLD,652
490,491,15714689,HOUGHTON,591,Spain,Male,29,1,97541.24,1,1,1,196356.17,0,0,2,PLATINUM,850
491,492,15699005,MARTIN,710,France,Female,41,2,156067.05,1,1,1,9983.88,0,0,4,DIAMOND,678
492,493,15624170,TAN,639,France,Female,38,4,81550.94,2,0,1,118974.77,0,0,4,GOLD,860
495,496,15804256,HALE,765,Germany,Male,36,8,92310.54,2,1,1,72924.56,0,0,3,DIAMOND,547
497,498,15733616,SOPULUCHUKWU,806,France,Male,40,5,80613.93,1,1,1,142838.64,0,0,1,SILVER,314
498,499,15591995,BARRY,757,Germany,Male,26,8,121581.56,2,1,1,127059.04,0,0,5,SILVER,595
499,500,15677020,SELEZNEVA,570,France,Female,58,8,0,1,0,1,116503.92,1,1,2,DIAMOND,257
500,501,15727688,CHIZUOKE,555,Spain,Male,32,4,0,2,1,1,54405.79,0,0,4,DIAMOND,850
501,502,15715941,LUECK,692,France,Male,54,5,0,2,1,1,88721.84,0,0,3,PLATINUM,552
503,504,15730059,UDOBATA,638,Spain,Male,44,9,77637.35,2,1,1,111346.22,0,0,4,SILVER,343
508,509,15773890,OKECHUKWU,733,France,Male,22,5,0,2,1,1,117202.19,0,0,3,DIAMOND,279
509,510,15598883,KING,599,Spain,Female,37,2,0,2,1,1,143739.29,0,0,4,GOLD,516
